file,metric,bottom_q,top_q
steering_vectors_R4D_top_15k_by_affinity.parquet,sa,2.5152027831883794,3.2386724849639688
steering_vectors_R4D_top_15k_by_affinity.parquet,qed,0.8059734486590916,0.9019299062037947
steering_vectors_R4D_top_15k_by_affinity.parquet,logp,1.948,2.8273200000000003
steering_vectors_zinc_layer_1_5k.parquet,sa,2.4156923187020802,3.519101252488529
steering_vectors_zinc_layer_1_5k.parquet,qed,0.6486072382637351,0.8373566279352855
steering_vectors_zinc_layer_1_5k.parquet,logp,1.8016,3.5318000000000023
steering_vectors_zinc_layer_28_5k.parquet,sa,2.4156923187020802,3.519101252488529
steering_vectors_zinc_layer_28_5k.parquet,qed,0.6486072382637351,0.8373566279352855
steering_vectors_zinc_layer_28_5k.parquet,logp,1.8016,3.5318000000000023
steering_vectors_all_zinc.parquet,sa,2.4135965581902883,3.518061802122097
steering_vectors_all_zinc.parquet,qed,0.650816686457203,0.8389123770338903
steering_vectors_all_zinc.parquet,logp,1.7971,3.530375000000003
steering_vectors_zinc_gpt2.parquet,sa,2.4135965581902883,3.518061802122097
steering_vectors_zinc_gpt2.parquet,qed,0.650816686457203,0.8389123770338903
steering_vectors_zinc_gpt2.parquet,logp,1.7971,3.530375000000003
steering_vectors_zinc_layer_12_5k.parquet,sa,2.4121279684448664,3.523611068248446
steering_vectors_zinc_layer_12_5k.parquet,qed,0.6504441646756942,0.8368892696592076
steering_vectors_zinc_layer_12_5k.parquet,logp,1.81349,3.5529400000000018
steering_vectors_zinc_layer_20_5k.parquet,sa,2.4156923187020802,3.519101252488529
steering_vectors_zinc_layer_20_5k.parquet,qed,0.6486072382637351,0.8373566279352855
steering_vectors_zinc_layer_20_5k.parquet,logp,1.8016,3.5318000000000023
steering_vectors_all_qm9.parquet,sa,3.595271983280591,4.929846894084478
steering_vectors_all_qm9.parquet,qed,0.42895528449179604,0.5158280641441194
steering_vectors_all_qm9.parquet,logp,0.3677,1.32508
steering_vectors_moses_gpt2.parquet,sa,2.1214609793977157,2.717209633351236
steering_vectors_moses_gpt2.parquet,qed,0.7575065182016619,0.87684464727767
steering_vectors_moses_gpt2.parquet,logp,1.9168199999999995,3.125400000000001
steering_vectors_all_chembl.parquet,sa,2.4249866164163634,3.5090231589775995
steering_vectors_all_chembl.parquet,qed,0.36015656104353966,0.7210827911785554
steering_vectors_all_chembl.parquet,logp,2.516815000000001,4.676020000000004
steering_vectors_chembl_gpt2.parquet,sa,2.423412223962867,3.4974763681887038
steering_vectors_chembl_gpt2.parquet,qed,0.362669350620575,0.7214992257522646
steering_vectors_chembl_gpt2.parquet,logp,2.517475000000001,4.676320000000004
steering_vectors_qm9_gpt2.parquet,sa,3.595271983280591,4.929846894084478
steering_vectors_qm9_gpt2.parquet,qed,0.42895528449179604,0.5158280641441194
steering_vectors_qm9_gpt2.parquet,logp,0.3677,1.32508
top_200_sa_smiles_qm9.parquet,sa,2.233763605887764,3.5168746114744214
top_200_sa_smiles_qm9.parquet,qed,0.4162773652944048,0.534352926903109
top_200_sa_smiles_qm9.parquet,logp,0.549475,1.44806
steering_vectors_all_moses.parquet,sa,2.1214609793977157,2.717209633351236
steering_vectors_all_moses.parquet,qed,0.7575065182016619,0.87684464727767
steering_vectors_all_moses.parquet,logp,1.9168199999999995,3.125400000000001
steering_vectors_zinc_layer_31.parquet,sa,2.4156923187020802,3.519101252488529
steering_vectors_zinc_layer_31.parquet,qed,0.6486072382637351,0.8373566279352855
steering_vectors_zinc_layer_31.parquet,logp,1.8016,3.5318000000000023
steering_vectors_all_R4D.parquet,sa,2.1825308871584364,2.7437010279698306
steering_vectors_all_R4D.parquet,qed,0.7830985684664393,0.8995472213549117
steering_vectors_all_R4D.parquet,logp,1.810325,2.70462
steering_vectors_zinc_layer_24_5k.parquet,sa,2.4156923187020802,3.519101252488529
steering_vectors_zinc_layer_24_5k.parquet,qed,0.6486072382637351,0.8373566279352855
steering_vectors_zinc_layer_24_5k.parquet,logp,1.8016,3.5318000000000023
